country,station,pop,stockID,day,month,year,lat,lon,fishno,length_cm,weight_g,age,sex,maturity,folder,picname,cal
australia,WL,1,2389,18,7,2020,34,35,1,23.3,0.03334,4,Female,22,WL,001_01,418
australia,WL,1,2390,1,7,2020,34,35,1,23.9,0.02968,4,Female,5,WL,001_02,418
australia,WL,1,2395,7,7,2020,34,35,1,20,0.02341,3,Male,11,WL,001_04,418
australia,WL,1,2396,11,7,2020,34,35,1,19.4,0.02078,2,Female,15,WL,001_05,418
australia,WL,1,2401,10,7,2020,34,35,1,20.8,0.02393,3,Male,14,WL,001_07,418
australia,WL,1,2402,14,7,2020,34,35,1,21.6,0.02802,4,Female,18,WL,001_08,418
australia,WL,1,2405,20,7,2020,34,35,1,20.6,0.02397,2,Female,24,WL,001_11,418
australia,WL,1,2407,17,7,2020,34,35,1,20.5,0.02416,2,Female,21,WL,001_12,418
australia,WL,1,2408,6,7,2020,34,35,1,20,0.02153,2,Male,10,WL,001_13,418
australia,WL,1,2410,34,8,2020,34,35,1,24.6,0.04316,7,Male,38,WL,001_14,418
australia,WL,1,2413,39,8,2020,34,35,1,24.5,0.0387,10,Female,43,WL,001_16,418
australia,WL,1,2414,21,8,2020,34,35,1,24.2,0.03599,5,Male,25,WL,001_17,418
australia,WL,1,2418,35,8,2020,34,35,1,24.5,0.04288,6,Female,39,WL,001_19,418
australia,WL,1,2426,36,8,2020,34,35,1,23,0.03408,6,Unknown,40,WL,001_24,418
australia,WL,1,2428,33,8,2020,34,35,1,20.1,0.02407,3,Female,37,WL,001_25,418
australia,WL,1,2430,55,9,2020,34,35,1,19.2,0.02073,3,Female,59,WL,001_26,418
australia,WL,1,2431,52,9,2020,34,35,1,20.2,0.02291,2,Female,56,WL,001_27,418
australia,WL,1,2433,43,9,2020,34,35,1,21.4,0.02651,5,Female,47,WL,001_28,418
australia,WL,1,2434,50,9,2020,34,35,1,23,0.03235,5,Female,54,WL,001_29,418
australia,WL,1,2435,41,9,2020,34,35,1,19.6,0.02625,5,Male,45,WL,001_30,418
australia,UL,2,2463,98,11,2020,34,35,1,24.3,0.03672,4,Female,102,UL,002_01,292
australia,UL,2,2465,102,11,2020,34,35,1,23.5,0.03927,7,Female,106,UL,002_02,292
australia,UL,2,2468,96,11,2020,34,35,1,17.5,0.01704,3,Unknown,100,UL,002_03,292
australia,UL,2,2469,100,11,2020,34,35,1,24.5,0.04635,10,Female,104,UL,002_04,292
australia,UL,2,2470,95,11,2020,34,35,1,20,0.02186,2,Female,99,UL,002_05,292
australia,UL,2,2471,99,11,2020,34,35,1,18,0.01876,3,Female,103,UL,002_06,292
australia,UL,2,2474,105,11,2020,34,35,1,17.1,0.01762,1,Male,109,UL,002_07,292
australia,UL,2,2475,107,11,2020,34,35,1,19.2,0.01767,2,Female,111,UL,002_08,292
australia,UL,2,2477,101,11,2020,34,35,1,18,0.01756,2,Male,105,UL,002_09,292
australia,UL,2,2518,282,4,2021,34,35,1,24.5,0.05122,12,Male,286,UL,002_10,292
australia,UL,2,2520,290,4,2021,34,35,1,24.8,0.0559,14,Female,294,UL,002_11,292
australia,UL,2,2523,297,4,2021,34,35,1,24.9,0.04497,7,Male,301,UL,002_12,292
australia,UL,2,2527,286,4,2021,34,35,1,24.5,0.03323,5,Male,290,UL,002_13,292
australia,UL,2,2531,298,4,2021,34,35,1,24.3,0.03943,6,Male,302,UL,002_14,292
australia,UL,2,2532,296,4,2021,34,35,1,24.3,0.03742,4,Male,300,UL,002_15,292
australia,UL,2,2533,294,4,2021,34,35,1,22.8,0.02982,4,Male,298,UL,002_16,292
australia,UL,2,2534,284,4,2021,34,35,1,24.9,0.05016,13,Male,288,UL,002_17,292
australia,UL,2,2558,324,5,2021,34,35,1,23,0.03315,5,Female,328,UL,002_19,292
australia,UL,2,2559,321,5,2021,34,35,1,24,0.03924,5,Female,325,UL,002_20,292
australia,UL,2,2560,327,5,2021,34,35,1,23.9,0.03216,5,Female,331,UL,002_21,292
australia,UL,2,2561,319,5,2021,34,35,1,25.3,0.05226,11,Female,323,UL,002_22,292
australia,UL,2,2562,332,5,2021,34,35,1,25,0.04057,10,Male,336,UL,002_23,292
australia,UL,2,2564,334,5,2021,34,35,1,24.2,0.04061,8,Male,338,UL,002_24,292
australia,UL,2,2565,330,5,2021,34,35,1,25.8,0.04593,11,Male,334,UL,002_25,292
australia,UL,2,2567,322,5,2021,34,35,1,23.9,0.04058,8,Female,326,UL,002_26,292
australia,UL,2,2569,320,5,2021,34,35,1,24.3,0.03642,8,Female,324,UL,002_27,292
australia,UL,2,2570,333,5,2021,34,35,1,24.8,0.04336,10,Male,337,UL,002_28,292
australia,UL,2,2571,337,5,2021,34,35,1,23.8,0.04546,10,Female,341,UL,002_29,292
australia,UL,2,2573,331,5,2021,34,35,1,23.7,0.0342,4,Female,335,UL,002_30,292
